,wind_speed_mps,wave_height_m
t567,4.547033333,0.75
t568,4.63105,0.69
t569,3.8896,0.75
t570,2.611333333,0.71
t571,2.181333333,0.74
t572,2.085433333,0.69
t573,2.48305,0.62
t574,2.618616667,0.65
t575,3.270416667,0.59
t576,3.110283333,0.63
t577,3.8198,0.55
t578,5.0854,0.5
t579,5.2511,0.52
t580,6.168966667,0.54
t581,5.622666667,0.57
t582,6.116733333,0.58
t583,6.554016667,0.6
t584,7.384583333,0.63
t585,7.66365,0.66
t586,7.91415,0.67
t587,6.990383333,0.72
t588,6.879866667,0.68
t589,7.012866667,0.65
t590,6.390766667,0.63
t591,6.627733333,0.64
t592,7.674716667,0.68
t593,8.457933333,0.68
t594,9.20715,0.72
t595,10.19141667,0.74
t596,10.8804,0.77
t597,10.64125,0.81
t598,11.0673,0.79
t599,11.66748333,0.83
t600,12.78668333,0.81
t601,12.32118333,0.83
t602,10.66576667,0.86
t603,10.15281667,0.79
t604,10.32935,0.73
t605,9.8796,0.75
t606,10.18731667,0.65
t607,7.809266667,0.65
t608,6.09675,0.7
t609,8.355483333,0.65
t610,10.2625,0.59
t611,10.41953333,0.65
t612,10.71098333,0.58
t613,11.00836667,0.58
t614,10.46113333,0.58
t615,10.70355,0.59
t616,11.32386667,0.72
t617,10.99171667,0.83
t618,9.862466667,0.94
t619,9.09845,0.93
t620,8.67795,0.91
t621,7.47765,0.89
t622,7.6594,0.81
t623,8.33445,0.8
t624,8.75865,0.83
t625,8.125433333,0.89
t626,7.362983333,0.92
t627,6.577633333,0.96
t628,5.364,0.93
t629,5.800766667,0.96
t630,6.20165,0.97
t631,6.229716667,1.04
t632,7.385366667,1.11
t633,8.653833333,1.21
t634,8.2829,1.21
t635,8.651333333,1.19
t636,8.503416667,1.26
t637,8.337633333,1.28
t638,8.073033333,1.35
t639,7.337733333,1.4
t640,6.805783333,1.41
t641,7.913683333,1.34
t642,8.342033333,1.31
t643,7.416516667,1.26
t644,7.032616667,1.27
t645,7.106516667,1.32
t646,7.130233333,1.33
t647,6.7538,1.44
t648,6.338783333,1.79
t649,6.6071,1.39
t650,5.489583333,1.67
t651,4.998,1.42
t652,4.289683333,1.56
t653,3.862233333,1.41
t654,4.64265,1.54
t655,4.626716667,1.52
t656,4.135916667,1.76
t657,2.718,1.6
t658,2.3452,1.74
t659,3.4155,1.53
t660,4.6976,1.64
t661,4.204316667,1.6
t662,5.49785,1.68
t663,5.224916667,1.64
t664,6.648716667,1.48
t665,7.471516667,1.53
t666,7.63525,1.37
t667,8.641,1.46
t668,9.820516667,1.54
t669,10.622,1.51
t670,10.7077,1.34
t671,10.0608,1.61
t672,10.40265,1.48
t673,11.04855,1.65
t674,11.59198333,1.58
t675,11.90503333,1.78
t676,12.37181667,1.8
t677,13.02531667,1.72
t678,13.86146667,1.72
t679,14.30766667,1.83
t680,13.87806667,1.88
t681,12.72065,1.83
t682,12.37973333,1.65
t683,12.35763333,1.78
t684,12.64643333,1.71
t685,13.09286667,1.63
t686,12.02371667,1.66
t687,11.2367,1.54
t688,11.54135,1.49
t689,12.33158333,1.43
t690,12.41083333,1.46
t691,12.31248333,1.45
t692,12.61708333,1.39
t693,13.60788333,1.43
t694,14.32783333,1.35
t695,13.97485,1.59
t696,12.05663333,1.28
t697,10.77556667,1.34
t698,11.1648,1.34
t699,10.3114,1.17
t700,11.2657,1.09
t701,12.8669,1.36
t702,13.83911667,1.41
t703,14.49718333,1.72
t704,14.52405,2.01
t705,14.69786667,2.08
t706,14.27513333,2.09
t707,14.08735,2.29
t708,13.96936667,2.55
t709,13.92231667,2.45
t710,14.03046667,2.68
t711,12.87221667,2.61
t712,13.12711667,2.67
t713,12.961,2.53
t714,13.11508333,2.56
t715,11.8202,2.42
t716,10.94536667,2.51
t717,10.4909,2.17
t718,10.18596667,2.25
t719,9.717783333,2.28
t720,9.498,2.15
t721,8.158433333,1.93
t722,8.6855,1.96
t723,8.933333333,1.97
t724,8.456016667,1.82
t725,7.487866667,1.47
t726,5.62265,1.55
t727,5.310933333,1.35
t728,5.948616667,1.28
t729,6.4773,1.28
t730,8.922666667,1.3
t731,12.73598333,1.18
t732,13.2869,1.32
t733,12.87476667,1.45
t734,13.61391667,1.45
t735,14.74136667,1.73
t736,13.64491667,1.86
t737,15.37943333,1.79
t738,15.52528333,1.91
t739,14.98915,2.04
t740,14.11343333,2
t741,13.83395,1.89
t742,15.17798333,1.96
t743,14.35601667,1.86
t744,13.01738333,2.35
t745,12.55013333,2.2
t746,13.30275,2.08
t747,12.3931,2.01
t748,12.53455,1.96
t749,12.06346667,1.85
t750,11.35353333,2.2
t751,11.06315,2.05
t752,11.2528,1.87
t753,10.69923333,2.01
t754,10.77391667,1.88
t755,10.10613333,1.82
t756,9.8976,1.78
t757,9.075233333,1.74
t758,9.05335,1.75
t759,8.120216667,1.64
t760,7.788783333,1.54
t761,6.450666667,1.45
t762,6.893533333,1.36
t763,6.91375,1.35
t764,6.60285,1.37
t765,6.546416667,1.28
t766,6.544783333,1.35
t767,6.504016667,1.34
t768,6.540633333,1.3
t769,6.64845,1.2
t770,6.2779,1.13
t771,7.553116667,1.23
t772,7.468233333,1.16
t773,7.63475,1.09
t774,8.2961,1.09
t775,7.9959,1.05
t776,8.297983333,1.03
t777,8.512633333,1
t778,7.73815,0.96
t779,9.540633333,1.04
t780,10.40595,1.06
t781,11.1841,1.2
t782,11.84965,1.2
t783,11.65888333,1.14
t784,12.31475,1.34
t785,12.60685,1.28
t786,12.67556667,1.45
t787,12.33761667,1.46
t788,11.49058333,1.5
t789,12.16778333,1.5
t790,11.51173333,1.52
t791,10.86818333,1.32
t792,11.173,1.14
t793,11.99825,1.15
t794,12.73038333,1.18
t795,12.5371,1.24
t796,12.72951667,1.26
t797,12.32556667,1.33
t798,12.23151667,1.34
t799,12.37275,1.33
t800,12.49868333,1.3
t801,12.11268333,1.33
t802,11.90231667,1.33
t803,11.81026667,1.41
t804,11.59358333,1.29
t805,11.506,1.23
t806,12.13876667,1.25
t807,13.1196,1.11
t808,12.45071667,1.17
t809,11.82661667,1.05
t810,12.26841667,1.16
t811,11.31733333,1.15
t812,12.10108333,1.2
t813,13.32911667,1.32
t814,12.88886667,1.2
t815,12.07396667,1.19
t816,12.32368333,1.27
t817,13.2545,1.25
t818,9.434666667,1.32
t819,8.608683333,1.44
t820,7.499233333,1.44
t821,7.4371,1.47
t822,8.804316667,1.64
t823,13.24831667,1.52
t824,13.66123333,1.58
t825,13.91318333,1.74
t826,13.83185,2.04
t827,14.36516667,2.08
t828,13.22763333,2.28
t829,13.40888333,2.13
t830,13.879,2.12
t831,14.35776667,2.12
t832,13.96763333,2.17
t833,14.00873333,2.29
t834,14.22153333,2.3
t835,14.38846667,2.24
t836,14.57595,2.48
t837,15.02078333,2.26
t838,15.82968333,2.47
t839,16.35796667,2.55
t840,17.11205,2.62
t841,17.15305,2.69
t842,16.08166667,2.78
t843,15.50418333,3.43
t844,16.0353,3.17
t845,16.28305,3.29
t846,16.50421667,3.21
t847,16.47711667,3.08
t848,16.77616667,3.47
t849,17.0781,3.62
t850,17.71955,3.88
t851,16.81873333,3.63
t852,16.73678333,3.79
t853,17.66413333,3.69
t854,17.2806,4.02
t855,16.00005,4.02
t856,16.2549,3.9
t857,17.56885,3.91
t858,17.63281667,3.51
t859,17.60966667,3.85
t860,17.0099,3.66
t861,16.74323333,4.18
t862,15.73681667,3.78
t863,16.85395,3.89
t864,17.99243333,3.93
t865,17.62966667,4.63
t866,16.9834,4.62
t867,17.1155,4.18
t868,16.65503333,4.05
t869,17.27355,3.82
t870,16.10188333,3.83
t871,16.4731,3.99
t872,16.85451667,4.37
t873,16.88293333,4.04
t874,16.95098333,3.89
t875,16.83873333,4.11
t876,17.39086667,4.22
t877,17.09648333,4.08
t878,17.85408333,4.73
t879,18.09183333,3.82
t880,18.53478333,4.23
t881,19.16773333,4.2
t882,18.94601667,4.38
t883,18.20763333,4.11
t884,19.4123,4.2
t885,21.00573333,4.38
t886,21.34013333,4.11
t887,21.97668333,4.66
t888,20.89888333,4.47
t889,19.66665,4.65
t890,19.92306667,5.15
t891,17.96385,5.54
t892,17.5857,4.54
t893,18.39795,4.27
t894,18.69431667,4.16
t895,18.39573333,4.17
t896,17.8456,4.42
t897,18.38248333,4.18
t898,18.48143333,4.48
t899,18.187,4.18
t900,17.77448333,4.25
t901,17.45043333,4.06
t902,17.23993333,4.51
t903,17.26835,4.42
t904,17.85065,4.49
t905,17.79548333,4.68
t906,17.24968333,4.84
t907,18.08,4.43
t908,18.42658333,3.93
t909,18.4996,3.9
t910,17.87343333,4.88
t911,17.45345,4.87
t912,16.88475,4.74
t913,16.94145,4.31
t914,16.4458,4
t915,15.86325,4.38
t916,15.18448333,4.23
t917,15.17465,3.92
t918,14.61513333,3.99
t919,12.89531667,3.96
t920,12.19678333,3.77
t921,11.49653333,3.84
t922,10.89166667,3.43
t923,9.86945,3.42
t924,9.62765,3.16
t925,8.864183333,2.98
t926,8.627666667,3
t927,8.343883333,2.72
t928,8.0556,2.74
t929,7.652283333,2.69
t930,7.4994,2.52
t931,7.051966667,2.56
t932,5.533583333,2.5
t933,4.015183333,2.35
t934,2.776616667,2.21
t935,1.893233333,2.23
t936,1.42055,1.98
t937,1.743233333,1.79
t938,2.160983333,1.76
t939,2.796266667,1.62
t940,3.715366667,1.67
t941,4.98345,1.83
t942,6.63275,1.61
t943,8.354033333,1.87
t944,8.80675,1.64
t945,8.527216667,1.63
t946,8.234083333,1.68
t947,7.918183333,1.77
t948,7.50355,1.71
t949,7.117016667,1.6
t950,6.216933333,1.64
t951,6.191766667,1.71
t952,5.554983333,1.49
t953,5.41505,1.62
t954,4.849816667,1.46
t955,4.449733333,1.47
t956,3.839133333,1.39
t957,3.415333333,1.42
t958,3.110616667,1.29
t959,3.378583333,1.21
t960,3.785766667,1.23
t961,4.651833333,1.11
t962,3.850333333,1.09
t963,6.572566667,1.12
