,wind_speed_mps,wave_height_m
t2126,9.921783333,1.47
t2127,9.368416667,1.44
t2128,9.336066667,1.35
t2129,9.857533333,1.33
t2130,9.605916667,1.31
t2131,9.82485,1.36
t2132,9.1328,1.39
t2133,9.712583333,1.28
t2134,9.491266667,1.46
t2135,9.14465,1.34
t2136,9.181133333,1.43
t2137,9.7058,1.39
t2138,9.224683333,1.36
t2139,9.35015,1.4
t2140,9.288333333,1.3
t2141,8.936583333,1.19
t2142,8.0184,1.24
t2143,7.266333333,1.12
t2144,7.5663,1.09
t2145,7.862066667,1.04
t2146,8.724683333,1.04
t2147,8.058016667,1.04
t2148,7.440633333,0.97
t2149,7.844466667,0.97
t2150,8.09665,0.92
t2151,8.10775,0.97
t2152,6.779733333,0.94
t2153,5.744866667,0.83
t2154,6.508116667,0.83
t2155,6.903116667,0.81
t2156,7.307783333,0.88
t2157,7.5922,0.86
t2158,6.699183333,0.85
t2159,7.604833333,0.83
t2160,6.282583333,0.85
t2161,5.679583333,0.96
t2162,5.46965,0.87
t2163,4.884983333,0.81
t2164,4.628566667,0.81
t2165,4.529716667,0.72
t2166,4.202133333,0.71
t2167,4.053566667,0.66
t2168,3.0018,0.6
t2169,2.56335,0.56
t2170,3.72615,0.55
t2171,3.600916667,0.55
t2172,2.3409,0.53
t2173,4.519516667,0.52
t2174,4.261216667,0.49
t2175,3.215,0.49
t2176,2.090833333,0.52
t2177,1.82285,0.52
t2178,1.3847,0.53
t2179,1.5762,0.51
t2180,1.018116667,0.55
t2181,0.97465,0.54
t2182,1.92925,0.56
t2183,2.033316667,0.54
t2184,1.66805,0.52
t2185,1.70205,0.53
t2186,1.541433333,0.53
t2187,1.049366667,0.56
t2188,1.5461,0.6
t2189,2.25005,0.65
t2190,3.131783333,0.6
t2191,3.1188,0.6
t2192,2.897033333,0.67
t2193,1.800116667,0.69
t2194,3.544233333,0.66
t2195,4.749266667,0.74
t2196,4.4913,0.87
t2197,4.346616667,0.88
t2198,5.2561,0.8
t2199,4.24685,0.91
t2200,1.864033333,0.95
t2201,1.417416667,1.01
t2202,2.311216667,0.99
t2203,2.294516667,1.13
t2204,1.657633333,1.07
t2205,2.960966667,1.12
t2206,3.995083333,1.13
t2207,4.392666667,1.13
t2208,4.959616667,1.07
t2209,5.103383333,1.14
t2210,5.0877,1.04
t2211,6.578983333,1.04
t2212,6.886733333,1.2
t2213,6.503516667,1.2
t2214,6.979533333,1.24
t2215,8.15195,1.39
t2216,9.170916667,1.39
t2217,9.918283333,1.32
t2218,10.25158333,1.44
t2219,10.53063333,1.46
t2220,10.56965,1.37
t2221,10.54033333,1.52
t2222,10.68913333,1.51
t2223,10.58473333,1.5
t2224,11.60063333,1.49
t2225,11.31448333,1.59
t2226,11.08273333,1.5
t2227,10.6653,1.6
t2228,10.42275,1.7
t2229,11.92373333,1.7
t2230,13.5695,1.72
t2231,13.7094,1.74
t2232,14.87886667,1.81
t2233,15.17653333,1.84
t2234,15.74088333,1.86
t2235,16.85388333,2.35
t2236,16.55608333,2.2
t2237,16.82718333,2.35
t2238,19.46656667,2.34
t2239,20.52918333,2.48
t2240,21.51718333,2.57
t2241,14.19175,2.68
t2242,5.648883333,2.22
t2243,8.512133333,2.49
t2244,10.9424,2.43
t2245,11.7871,2.36
t2246,12.19301667,2.39
t2247,10.97166667,2.19
t2248,10.54911667,2.16
t2249,10.06088333,2.12
t2250,10.50378333,2
t2251,9.439183333,1.91
t2252,9.343383333,2.05
t2253,10.77558333,1.94
t2254,11.7796,1.96
t2255,10.948,1.89
t2256,10.89101667,1.84
t2257,9.90605,1.79
t2258,10.19691667,1.73
t2259,8.901433333,1.64
t2260,9.361566667,1.59
t2261,9.367533333,1.66
t2262,9.6677,1.41
t2263,9.18425,1.5
t2264,8.783383333,1.41
t2265,8.492316667,1.43
t2266,7.644183333,1.36
t2267,7.222166667,1.33
t2268,8.673633333,1.23
t2269,8.226233333,1.21
t2270,8.07235,1.19
t2271,9.71945,1.35
t2272,10.12153333,1.37
t2273,8.80485,1.13
t2274,7.97715,1.23
t2275,9.493183333,1.11
t2276,10.3251,1.18
t2277,10.38845,1.45
t2278,10.39763333,1.27
t2279,10.45171667,1.36
t2280,10.72486667,1.27
t2281,11.68381667,1.25
t2282,11.69425,1.36
t2283,11.87795,1.36
t2284,12.53278333,1.27
t2285,12.03155,1.27
t2286,10.90553333,1.28
t2287,10.984,1.15
t2288,10.275,1.18
t2289,10.32256667,1.13
t2290,9.863483333,1.08
t2291,10.21343333,1.1
t2292,10.66065,1.1
t2293,10.6334,1.16
t2294,9.772666667,1.02
t2295,9.810983333,0.98
t2296,10.76118333,1.03
t2297,10.76168333,1.1
t2298,10.23915,1.15
t2299,9.9429,1.13
t2300,10.48045,1.12
t2301,10.5454,1.15
t2302,11.1384,1.09
t2303,11.22396667,1.26
t2304,12.13566667,1.51
t2305,13.60141667,1.56
t2306,13.40996667,1.53
t2307,13.5912,1.55
t2308,12.71536667,1.55
t2309,12.06431667,1.51
t2310,11.37811667,1.51
t2311,9.7734,1.39
t2312,7.337866667,1.1
t2313,9.646133333,1.01
t2314,12.39908333,1.02
t2315,12.76143333,1.27
t2316,12.8382,1.39
t2317,11.3206,1.75
t2318,10.7045,1.34
t2319,12.35048333,1.4
t2320,12.41426667,1.3
t2321,12.57973333,1.4
t2322,12.17793333,1.35
t2323,11.4375,1.57
t2324,10.44953333,1.6
t2325,9.945016667,1.39
t2326,11.66643333,1.4
t2327,11.01373333,1.4
t2328,11.16918333,1.51
t2329,10.24956667,1.45
t2330,9.627783333,1.3
t2331,9.006133333,1.18
t2332,8.288,1.2
t2333,8.346683333,1.23
t2334,8.301733333,1.1
t2335,9.294283333,1.04
t2336,9.025816667,1.14
t2337,8.9599,1.09
t2338,9.632333333,1.08
t2339,10.01963333,1.08
t2340,9.56305,1.05
t2341,7.8883,1.04
t2342,6.549416667,0.98
t2343,7.52915,0.88
t2344,9.542333333,0.95
t2345,10.1214,1.03
t2346,9.204833333,1.21
t2347,7.67145,1.04
t2348,6.752333333,0.99
t2349,6.693383333,1.03
t2350,7.238683333,1.02
t2351,6.71595,1.01
t2352,6.993883333,0.97
t2353,7.425383333,0.98
t2354,7.570533333,1
t2355,7.0401,0.92
t2356,5.35055,0.94
t2357,4.630266667,0.86
t2358,4.971433333,0.77
t2359,5.37735,0.8
t2360,5.535116667,0.75
t2361,5.792416667,0.74
t2362,5.46445,0.77
t2363,5.587666667,0.78
t2364,6.439233333,0.81
t2365,6.853866667,0.91
t2366,7.12695,0.92
t2367,7.21,0.92
t2368,6.803816667,1.03
t2369,6.401166667,0.97
t2370,6.665433333,0.97
t2371,7.296933333,1
t2372,7.089366667,0.98
t2373,6.786533333,0.99
t2374,6.95265,0.94
t2375,7.525366667,0.9
t2376,7.360216667,0.93
t2377,8.31145,0.94
t2378,8.22205,0.98
t2379,8.07845,0.93
t2380,7.662266667,0.97
t2381,6.4074,0.98
t2382,4.6167,0.93
t2383,3.939216667,0.94
t2384,3.413666667,0.88
t2385,5.298533333,0.92
t2386,6.1205,0.92
t2387,6.174966667,0.94
t2388,6.21525,1
t2389,5.632466667,0.91
t2390,5.730116667,0.92
t2391,5.871266667,0.94
t2392,5.900883333,0.95
t2393,6.688333333,0.9
t2394,8.237866667,0.88
t2395,8.81935,0.98
t2396,6.3103,0.96
t2397,5.871066667,0.92
t2398,5.231716667,1.01
t2399,5.594483333,0.93
t2400,6.05995,0.96
t2401,6.496016667,0.98
t2402,6.11325,1
t2403,6.036033333,1.08
t2404,5.472083333,1.09
t2405,6.190683333,1.29
t2406,6.1427,1.41
t2407,5.16265,1.42
t2408,5.439683333,1.42
t2409,6.226266667,1.38
t2410,6.454516667,1.53
t2411,6.472866667,1.51
t2412,5.40495,1.49
t2413,4.381666667,1.6
t2414,3.554083333,1.65
t2415,3.739183333,1.39
t2416,3.692566667,1.34
t2417,3.7079,1.38
t2418,4.636216667,1.34
t2419,6.652633333,1.32
t2420,7.58995,1.36
t2421,8.751816667,1.58
t2422,9.276366667,1.72
t2423,9.859233333,1.76
t2424,12.13621667,1.76
t2425,13.21315,1.98
t2426,13.05553333,1.86
t2427,12.11123333,1.99
t2428,12.29686667,1.85
t2429,10.2409,1.65
t2430,10.01253333,1.67
t2431,8.60995,1.5
t2432,9.643866667,1.47
t2433,9.456116667,1.41
t2434,10.72563333,1.35
t2435,10.97506667,1.43
t2436,9.632833333,1.5
